itemName,itemUrl,specifications,price,imageUrl,rating
Acer NITRO 5 Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SS...,https://www.flipkart.com//acer-nitro-5-core-i7-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-an515-54-774s-an515-54-76jv-gaming-laptop/p/itm4d4c07877e576?pid=COMFHNY8CZUBEM4A&lid=LSTCOMFHNY8CZUBEM4A9WBSJA&marketplace=FLIPKART&srno=s_2_53&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFHNY8CZUBEM4A.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Obsidian Black']","₹74,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.8
Acer Predator Forest Battle XXL Mousepad,https://www.flipkart.com//acer-predator-forest-battle-xxl-mousepad/p/itmfabkbkgxeceeu?pid=ACCFABKBXHPVEXG7&lid=LSTACCFABKBXHPVEXG74L00YV&marketplace=FLIPKART&srno=s_2_54&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.ACCFABKBXHPVEXG7.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,['Multicolor'],"₹2,199",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.3
Flipkart SmartBuy Wired Optical Mouse,https://www.flipkart.com//flipkart-smartbuy-wired-optical-mouse/p/itmfykgbnfhr32xg?pid=ACCFYKGBQJR3SBQX&lid=LSTACCFYKGBQJR3SBQXBMHD9D&marketplace=FLIPKART&srno=s_2_55&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.ACCFYKGBQJR3SBQX.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['USB 2.0', 'Black']",₹259,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.4
Acer Aspire Core i3 6th Gen - (4 GB/128 GB SSD/Windows ...,https://www.flipkart.com//acer-aspire-core-i3-6th-gen-4-gb-128-gb-ssd-windows-10-home-x349-m-laptop/p/itmf3s3fxyfgzazc?pid=COMESSJV3HGVMY2H&lid=LSTCOMESSJV3HGVMY2HKIKRVO&marketplace=FLIPKART&srno=s_2_56&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMESSJV3HGVMY2H.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['14 inch', 'Black', '1.56 kg']","₹49,449",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Acer Swift 3 Core i5 8th Gen - (8 GB/1 TB HDD/Linux/2 G...,https://www.flipkart.com//acer-swift-3-core-i5-8th-gen-8-gb-1-tb-hdd-linux-2-gb-graphics-sf315-51g-laptop/p/itmf3s32fhqhyfqp?pid=COMF2YTD482FGW3M&lid=LSTCOMF2YTD482FGW3MNFANLV&marketplace=FLIPKART&srno=s_2_57&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMF2YTD482FGW3M.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'STeel Grey', '2.1 kg']","₹48,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.4
Acer Aspire 3 Celeron Dual Core - (2 GB/500 GB HDD/Linu...,https://www.flipkart.com//acer-aspire-3-celeron-dual-core-2-gb-500-gb-hdd-linux-a315-33-c89l-laptop/p/itmbd93ce3bc9159?pid=COMF82GMZGEHXYEG&lid=LSTCOMF82GMZGEHXYEGRRIRDX&marketplace=FLIPKART&srno=s_2_58&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMF82GMZGEHXYEG.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Black', '2.1 kg']","₹15,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,3.7
Acer Predator Helios 300 Core i5 9th Gen - (16 GB/1 TB ...,https://www.flipkart.com//acer-predator-helios-300-core-i5-9th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-2060-ph315-52-5484-ph315-52-58y3-gaming-laptop/p/itm1fc9821868551?pid=COMFHNY8MFJJUHU9&lid=LSTCOMFHNY8MFJJUHU9JEPCU6&marketplace=FLIPKART&srno=s_2_59&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFHNY8MFJJUHU9.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Abyssal Black']","₹99,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.7
Acer Aspire 5 Core i3 7th Gen - (4 GB/1 TB HDD/Windows ...,https://www.flipkart.com//acer-aspire-5-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-a515-53k-laptop/p/itmaa4c3411d9311?pid=COMFZ5ABREXHQGJ3&lid=LSTCOMFZ5ABREXHQGJ3IMQYX7&marketplace=FLIPKART&srno=s_2_60&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFZ5ABREXHQGJ3.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Obsidian Black', '2.15 kg']","₹28,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,3.8
Acer Swift 7 Core i5 7th Gen - (8 GB/256 GB SSD/Windows...,https://www.flipkart.com//acer-swift-7-core-i5-7th-gen-8-gb-256-gb-ssd-windows-10-home-sf713-51-thin-light-laptop/p/itmf3j3vbnjw2y5k?pid=COMF3HZKMZR8Z7FA&lid=LSTCOMF3HZKMZR8Z7FAXG5WOX&marketplace=FLIPKART&srno=s_2_61&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMF3HZKMZR8Z7FA.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['13.3 inch', 'Black', '1.13 kg']","₹60,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.6
Acer Aspire 3 Ryzen 5 Quad Core - (4 GB/1 TB HDD/Window...,https://www.flipkart.com//acer-aspire-3-ryzen-5-quad-core-4-gb-1-tb-hdd-windows-10-home-a315-41-laptop/p/itmfhjgeqqj9phzf?pid=COMFHJGERTXXSRQJ&lid=LSTCOMFHJGERTXXSRQJ54TVRS&marketplace=FLIPKART&srno=s_2_62&otracker=search&otracker1=search&fm=organic&iid=48beaffa-a505-42fa-b0cb-23c1dd53a4e6.COMFHJGERTXXSRQJ.SEARCH&ssid=82uazdxlvk0000001592381341015&qH=e4721cdedd884fee,"['15.6 inch', 'Obsidian Black', '2.3 kg']","₹28,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,3.9
