itemName,brand,itemUrl,price,imageUrl
HYDRA-42 Running Shoes For Men,Lancer,https://www.flipkart.com//lancer-hydra-42-running-shoes-men/p/itmf3xw7gpffjent?pid=SHOEW8UJZEBMTZCR&lid=LSTSHOEW8UJZEBMTZCRNEDHSK&marketplace=FLIPKART&srno=s_4_148&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOEW8UJZEBMTZCR.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹499,https://rukminim1.flixcart.com/image/309/371/k51cpe80pkrrdj/shoe/e/f/c/9-hydra-42-lancer-hydra-42-dgr-rbl-09-original-imaew8thu5jrhvhh.jpeg?q=50
Marathon Running Shoes For Men,SEGA,https://www.flipkart.com//sega-marathon-running-shoes-men/p/itmfffpfgvyrqhdh?pid=SHOFFFDVWRKXTR4G&lid=LSTSHOFFFDVWRKXTR4GZNOISU&marketplace=FLIPKART&srno=s_4_149&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFFFDVWRKXTR4G.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹657,https://rukminim1.flixcart.com/image/309/371/jtvtz0w0/shoe/j/j/k/sega8-7-sega-red-original-imafffpgh3gmfeuc.jpeg?q=50
Running Shoes For Men,Layasa,https://www.flipkart.com//layasa-running-shoes-men/p/itmfa739c8cdb196?pid=SHOFP3HUUKSHXNGQ&lid=LSTSHOFP3HUUKSHXNGQD2C0OH&marketplace=FLIPKART&srno=s_4_150&otracker=search&otracker1=search&fm=organic&iid=en_RRj1zM%2Bv0T%2F7XcsB3EuGc0k6YG8w0RUbEwQhMZ6IaGo6vgYWig7G6jkmXPny5vreWZIvaxV8X7H5bgwjzLzgzQ%3D%3D&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/k6pd7680/shoe/y/3/h/la5780-10-layasa-black-green-original-imafp3htdha2gpsb.jpeg?q=50
Mesh Sports Walking Shoes For Men,Aadi,https://www.flipkart.com//aadi-mesh-sports-walking-shoes-men/p/itmf6nugbcvdjqfh?pid=SHOF6N78VRYDHSVR&lid=LSTSHOF6N78VRYDHSVR7KYFVW&marketplace=FLIPKART&srno=s_4_151&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOF6N78VRYDHSVR.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹331,https://rukminim1.flixcart.com/image/309/371/jj0bbm80/shoe/u/g/k/mrj857-7-aadi-blue-original-imaf6nujwtwnhzzj.jpeg?q=50
Men SM-379 Navy Blue White Running Shoes For Men,Sparx,https://www.flipkart.com//sparx-men-sm-379-navy-blue-white-running-shoes/p/itmf8etqcugd8szt?pid=SHOF8ERJDNXSJ8QZ&lid=LSTSHOF8ERJDNXSJ8QZHHA5G4&marketplace=FLIPKART&srno=s_4_152&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOF8ERJDNXSJ8QZ.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,"₹1,049",https://rukminim1.flixcart.com/image/309/371/k5vcya80pkrrdj/shoe/n/y/7/6-sx0379g-6-navy-white-sparx-original-imaf8etqbca54hjf.jpeg?q=50
Oxygen Running Shoes For Men,Beerock,https://www.flipkart.com//beerock-oxygen-running-shoes-men/p/itmfhgh93w3vyhj5?pid=SHOFC5FY3MQ6NSYG&lid=LSTSHOFC5FY3MQ6NSYG1J6WSW&marketplace=FLIPKART&srno=s_4_153&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFC5FY3MQ6NSYG.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/jydaqa80/shoe/e/h/a/beeoxy-redndblk-06-6-beerock-multicolor-2-original-imafgmzm9svsxnzq.jpeg?q=50
1772 Running Shoes For Men,LeatherKraft,https://www.flipkart.com//leatherkraft-1772-running-shoes-men/p/itm6ade33aa1d00a?pid=SHOFPWKHNFZH3WPC&lid=LSTSHOFPWKHNFZH3WPCQ6WO8R&marketplace=FLIPKART&srno=s_4_154&otracker=search&otracker1=search&fm=organic&iid=en_RRj1zM%2Bv0T%2F7XcsB3EuGc0k6YG8w0RUbEwQhMZ6IaGoO%2FWQDk%2FtI4xhaIXrBkabhtj8N%2FmuT9lhsfXvs4E7a0A%3D%3D&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹499,https://rukminim1.flixcart.com/image/309/371/k7p37gw0/shoe/r/r/z/f-d-1772-9-freedom-daisy-black-original-imafpvgkmmhznkcg.jpeg?q=50
"Airsocks-12 Men's Flyknit Socks Sneakers,Ultra-lightwei...",Asian,https://www.flipkart.com//asian-airsocks-12-men-s-flyknit-socks-sneakers-ultra-lightweight-breathable-walking-running-casual-athleisure-knitted-sock-shoes-running-men/p/itmb3a321b6608de?pid=SHOFJY4YXYZGQWHN&lid=LSTSHOFJY4YXYZGQWHN2S9QZC&marketplace=FLIPKART&srno=s_4_155&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFJY4YXYZGQWHN.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹759,https://rukminim1.flixcart.com/image/309/371/k4d27ww0/shoe/8/5/j/airsocks-12cgrymrn-6-asian-grey-maroon-original-imafk53xx2qzh6nh.jpeg?q=50
Sneakers For Men,T-Rock,https://www.flipkart.com//t-rock-sneakers-men/p/itme22362b7e3e4a?pid=SHOFPHPUAKPZBNF6&lid=LSTSHOFPHPUAKPZBNF6KBRCJ9&marketplace=FLIPKART&srno=s_4_156&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFPHPUAKPZBNF6.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹399,https://rukminim1.flixcart.com/image/309/371/k6l2vm80/shoe/f/q/g/501black-41-zf-klub-black-original-imafpyg8hntqhuyh.jpeg?q=50
"Mocassin, Casuals, Party Wear Loafers For Men",Kraasa,https://www.flipkart.com//kraasa-mocassin-casuals-party-wear-loafers-men/p/itm7202135579cbf?pid=SHOFNDPRK2GJRYGP&lid=LSTSHOFNDPRK2GJRYGPRZAQYT&marketplace=FLIPKART&srno=s_4_157&otracker=search&otracker1=search&fm=organic&iid=11e3ff4f-4304-4774-ab70-ed385f4099cd.SHOFNDPRK2GJRYGP.SEARCH&ssid=66v6iyncio0000001592390380486&qH=a60ba1a7a56c9e00,₹499,https://rukminim1.flixcart.com/image/309/371/k6jnfrk0/shoe/p/j/j/loc4445-10-looks9-brown-original-imafndw9murzzuxh.jpeg?q=50
